psgc_int,adm4_en
1303901275,Barangay 275
1303901276,Barangay 276
1303901281,Barangay 281
1303901282,Barangay 282
1303901283,Barangay 283
1303901284,Barangay 284
1303901285,Barangay 285
1303901286,Barangay 286
1303901287,Barangay 287
1303901288,Barangay 288
1303901289,Barangay 289
1303901290,Barangay 290
1303901291,Barangay 291
1303901292,Barangay 292
1303901293,Barangay 293
1303901294,Barangay 294
1303901295,Barangay 295
1303901296,Barangay 296
1303901297,Barangay 297
1303901298,Barangay 298
1303901299,Barangay 299
1303901300,Barangay 300
1303901301,Barangay 301
1303901302,Barangay 302
1303901303,Barangay 303
1303901304,Barangay 304
1303901305,Barangay 305
1303901306,Barangay 306
1303901307,Barangay 307
1303901308,Barangay 308
1303901309,Barangay 309
1303901310,Barangay 310
1303901311,Barangay 311
1303901312,Barangay 312
1303901313,Barangay 313
1303901314,Barangay 314
1303901315,Barangay 315
1303901316,Barangay 316
1303901317,Barangay 317
1303901318,Barangay 318
1303901319,Barangay 319
1303901320,Barangay 320
1303901321,Barangay 321
1303901322,Barangay 322
1303901323,Barangay 323
1303901324,Barangay 324
1303901325,Barangay 325
1303901326,Barangay 326
1303901327,Barangay 327
1303901328,Barangay 328
1303901329,Barangay 329
1303901330,Barangay 330
1303901331,Barangay 331
1303901332,Barangay 332
1303901333,Barangay 333
1303901334,Barangay 334
1303901335,Barangay 335
1303901336,Barangay 336
1303901337,Barangay 337
1303901338,Barangay 338
1303901339,Barangay 339
1303901340,Barangay 340
1303901341,Barangay 341
1303901342,Barangay 342
1303901343,Barangay 343
1303901344,Barangay 344
1303901345,Barangay 345
1303901346,Barangay 346
1303901347,Barangay 347
1303901348,Barangay 348
1303901349,Barangay 349
1303901350,Barangay 350
1303901351,Barangay 351
1303901352,Barangay 352
1303901353,Barangay 353
1303901354,Barangay 354
1303901355,Barangay 355
1303901356,Barangay 356
1303901357,Barangay 357
1303901358,Barangay 358
1303901359,Barangay 359
1303901360,Barangay 360
1303901361,Barangay 361
1303901362,Barangay 362
1303901363,Barangay 363
1303901364,Barangay 364
1303901365,Barangay 365
1303901366,Barangay 366
1303901367,Barangay 367
1303901368,Barangay 368
1303901369,Barangay 369
1303901370,Barangay 370
1303901371,Barangay 371
1303901372,Barangay 372
1303901373,Barangay 373
1303901374,Barangay 374
1303901375,Barangay 375
1303901376,Barangay 376
1303901377,Barangay 377
1303901378,Barangay 378
1303901379,Barangay 379
1303901380,Barangay 380
1303901381,Barangay 381
1303901382,Barangay 382
1303901383,Barangay 383
1303901384,Barangay 384
1303901385,Barangay 385
1303901386,Barangay 386
1303901387,Barangay 387
1303901388,Barangay 388
1303901389,Barangay 389
1303901390,Barangay 390
1303901391,Barangay 391
1303901392,Barangay 392
1303901393,Barangay 393
1303901394,Barangay 394
1303901395,Barangay 395
1303901396,Barangay 396
1303901397,Barangay 397
1303901398,Barangay 398
1303901399,Barangay 399
1303901400,Barangay 400
1303901401,Barangay 401
1303901402,Barangay 402
1303901403,Barangay 403
1303901404,Barangay 404
1303901405,Barangay 405
1303901406,Barangay 406
1303901407,Barangay 407
1303901408,Barangay 408
1303901409,Barangay 409
1303901410,Barangay 410
1303901411,Barangay 411
1303901412,Barangay 412
1303901413,Barangay 413
1303901414,Barangay 414
1303901415,Barangay 415
1303901416,Barangay 416
1303901417,Barangay 417
1303901418,Barangay 418
1303901419,Barangay 419
1303901420,Barangay 420
1303901421,Barangay 421
1303901422,Barangay 422
1303901423,Barangay 423
1303901424,Barangay 424
1303901425,Barangay 425
1303901426,Barangay 426
1303901427,Barangay 427
1303901428,Barangay 428
1303901429,Barangay 429
1303901430,Barangay 430
1303901431,Barangay 431
1303901432,Barangay 432
1303901433,Barangay 433
1303901434,Barangay 434
1303901435,Barangay 435
1303901436,Barangay 436
1303901437,Barangay 437
1303901438,Barangay 438
1303901439,Barangay 439
1303901440,Barangay 440
1303901441,Barangay 441
1303901442,Barangay 442
1303901443,Barangay 443
1303901444,Barangay 444
1303901445,Barangay 445
1303901446,Barangay 446
1303901447,Barangay 447
1303901448,Barangay 448
1303901449,Barangay 449
1303901450,Barangay 450
1303901451,Barangay 451
1303901452,Barangay 452
1303901453,Barangay 453
1303901454,Barangay 454
1303901455,Barangay 455
1303901456,Barangay 456
1303901457,Barangay 457
1303901458,Barangay 458
1303901459,Barangay 459
1303901460,Barangay 460
1303901461,Barangay 461
1303901462,Barangay 462
1303901463,Barangay 463
1303901464,Barangay 464
1303901465,Barangay 465
1303901466,Barangay 466
1303901467,Barangay 467
1303901468,Barangay 468
1303901469,Barangay 469
1303901470,Barangay 470
1303901471,Barangay 471
1303901472,Barangay 472
1303901473,Barangay 473
1303901474,Barangay 474
1303901475,Barangay 475
1303901476,Barangay 476
1303901477,Barangay 477
1303901478,Barangay 478
1303901479,Barangay 479
1303901480,Barangay 480
1303901481,Barangay 481
1303901482,Barangay 482
1303901483,Barangay 483
1303901484,Barangay 484
1303901485,Barangay 485
1303901486,Barangay 486
1303901487,Barangay 487
1303901488,Barangay 488
1303901489,Barangay 489
1303901490,Barangay 490
1303901491,Barangay 491
1303901492,Barangay 492
1303901493,Barangay 493
1303901494,Barangay 494
1303901495,Barangay 495
1303901496,Barangay 496
1303901497,Barangay 497
1303901498,Barangay 498
1303901499,Barangay 499
1303901500,Barangay 500
1303901501,Barangay 501
1303901502,Barangay 502
1303901503,Barangay 503
1303901504,Barangay 504
1303901505,Barangay 505
1303901506,Barangay 506
1303901507,Barangay 507
1303901508,Barangay 508
1303901509,Barangay 509
1303901510,Barangay 510
1303901511,Barangay 511
1303901512,Barangay 512
1303901513,Barangay 513
1303901514,Barangay 514
1303901515,Barangay 515
1303901516,Barangay 516
1303901517,Barangay 517
1303901518,Barangay 518
1303901519,Barangay 519
1303901520,Barangay 520
1303901521,Barangay 521
1303901522,Barangay 522
1303901523,Barangay 523
1303901524,Barangay 524
1303901525,Barangay 525
1303901526,Barangay 526
1303901527,Barangay 527
1303901528,Barangay 528
1303901529,Barangay 529
1303901530,Barangay 530
1303901531,Barangay 531
1303901532,Barangay 532
1303901533,Barangay 533
1303901534,Barangay 534
1303901535,Barangay 535
1303901536,Barangay 536
1303901537,Barangay 537
1303901538,Barangay 538
1303901539,Barangay 539
1303901540,Barangay 540
1303901541,Barangay 541
1303901542,Barangay 542
1303901543,Barangay 543
1303901544,Barangay 544
1303901545,Barangay 545
1303901546,Barangay 546
1303901547,Barangay 547
1303901548,Barangay 548
1303901549,Barangay 549
1303901550,Barangay 550
1303901551,Barangay 551
1303901552,Barangay 552
1303901553,Barangay 553
1303901554,Barangay 554
1303901555,Barangay 555
1303901556,Barangay 556
1303901557,Barangay 557
1303901558,Barangay 558
1303901559,Barangay 559
1303901560,Barangay 560
1303901561,Barangay 561
1303901562,Barangay 562
1303901563,Barangay 563
1303901564,Barangay 564
1303901565,Barangay 565
1303901566,Barangay 566
1303901567,Barangay 567
1303901568,Barangay 568
1303901569,Barangay 569
1303901570,Barangay 570
1303901571,Barangay 571
1303901572,Barangay 572
1303901573,Barangay 573
1303901574,Barangay 574
1303901575,Barangay 575
1303901576,Barangay 576
1303901577,Barangay 577
1303901578,Barangay 578
1303901579,Barangay 579
